country,code,violations,staff,post,corruption
Angola,AGO,50,9,no,1.0475056171417236
Angola,AGO,1,9,yes,1.0475056171417236
Albania,ALB,17,3,no,0.9210789799690247
Albania,ALB,0,3,yes,0.9210789799690247
United Arab Emirates,ARE,0,3,no,-0.7794677019119263
United Arab Emirates,ARE,0,3,yes,-0.7794677019119263
Argentina,ARG,5,19,no,0.22356674075126648
Argentina,ARG,0,19,yes,0.22356674075126648
Armenia,ARM,3,4,no,0.7100781798362732
Armenia,ARM,0,4,yes,0.7100781798362732
Australia,AUS,0,12,no,-2.205975294113159
Australia,AUS,0,12,yes,-2.205975294113159
Austria,AUT,3,21,no,-2.0210859775543213
Austria,AUT,1,21,yes,-2.0210859775543213
Azerbaijan,AZE,0,5,no,1.0132217407226562
Azerbaijan,AZE,0,5,yes,1.0132217407226562
Burundi,BDI,8,3,no,0.7967860698699951
Burundi,BDI,0,3,yes,0.7967860698699951
Belgium,BEL,3,14,no,-1.2325671911239624
Belgium,BEL,0,14,yes,-1.2325671911239624
Benin,BEN,27,8,no,0.7555961608886719
Benin,BEN,3,8,yes,0.7555961608886719
Burkina Faso,BFA,0,5,no,0.5066801905632019
Burkina Faso,BFA,0,5,yes,0.5066801905632019
Bangladesh,BGD,18,8,no,0.40182068943977356
Bangladesh,BGD,0,8,yes,0.40182068943977356
Bulgaria,BGR,48,6,no,0.4969547688961029
Bulgaria,BGR,1,6,yes,0.4969547688961029
Bahrain,BHR,18,7,no,-0.4061438739299774
Bahrain,BHR,0,7,yes,-0.4061438739299774
Bosnia & Herzegovina,BIH,14,6,no,0.3488849699497223
Bosnia & Herzegovina,BIH,0,6,yes,0.3488849699497223
Belarus,BLR,1,8,no,0.5959898829460144
Belarus,BLR,0,8,yes,0.5959898829460144
Bolivia,BOL,2,9,no,0.4136468470096588
Bolivia,BOL,0,9,yes,0.4136468470096588
Brazil,BRA,67,33,no,-0.09633007645606995
Brazil,BRA,1,33,yes,-0.09633007645606995
Bhutan,BTN,6,5,no,-0.46185868978500366
Bhutan,BTN,0,5,yes,-0.46185868978500366
Botswana,BWA,10,8,no,-0.5292958617210388
Botswana,BWA,0,8,yes,-0.5292958617210388
Central African Republic,CAF,0,3,no,0.5450571179389954
Central African Republic,CAF,0,3,yes,0.5450571179389954
Canada,CAN,0,24,no,-2.508467435836792
Canada,CAN,0,24,yes,-2.508467435836792
Switzerland,CHE,0,10,no,-2.5829877853393555
Switzerland,CHE,0,10,yes,-2.5829877853393555
Chile,CHL,16,14,no,-1.1979445219039917
Chile,CHL,0,14,yes,-1.1979445219039917
China,CHN,44,69,no,0.13631616532802582
China,CHN,0,69,yes,0.13631616532802582
Côte d’Ivoire,CIV,45,10,no,0.35460954904556274
Côte d’Ivoire,CIV,0,10,yes,0.35460954904556274
Cameroon,CMR,24,8,no,1.1102218627929688
Cameroon,CMR,2,8,yes,1.1102218627929688
Congo - Brazzaville,COG,3,6,no,0.9916212558746338
Congo - Brazzaville,COG,0,6,yes,0.9916212558746338
Colombia,COL,0,16,no,0.6088898181915283
Colombia,COL,0,16,yes,0.6088898181915283
Comoros,COM,2,3,no,0.7967860698699951
Comoros,COM,1,3,yes,0.7967860698699951
Costa Rica,CRI,13,19,no,-0.7100738286972046
Costa Rica,CRI,0,19,yes,-0.7100738286972046
Cyprus,CYP,2,11,no,-1.3780226707458496
Cyprus,CYP,0,11,yes,-1.3780226707458496
Czechia,CZE,9,7,no,-0.3539770543575287
Czechia,CZE,0,7,yes,-0.3539770543575287
Germany,DEU,3,52,no,-2.20808744430542
Germany,DEU,0,52,yes,-2.20808744430542
Djibouti,DJI,1,3,no,0.7967860698699951
Djibouti,DJI,0,3,yes,0.7967860698699951
Denmark,DNK,0,17,no,-2.5728225708007812
Denmark,DNK,0,17,yes,-2.5728225708007812
Dominican Republic,DOM,0,22,no,0.5277572870254517
Dominican Republic,DOM,0,22,yes,0.5277572870254517
Algeria,DZA,22,13,no,0.7022655010223389
Algeria,DZA,1,13,yes,0.7022655010223389
Ecuador,ECU,0,9,no,0.7397574782371521
Ecuador,ECU,0,9,yes,0.7397574782371521
Egypt,EGY,167,24,no,0.2488117814064026
Egypt,EGY,1,24,yes,0.2488117814064026
Eritrea,ERI,0,3,no,-0.46185868978500366
Eritrea,ERI,0,3,yes,-0.46185868978500366
Spain,ESP,13,15,no,-1.5878080129623413
Spain,ESP,1,15,yes,-1.5878080129623413
Estonia,EST,2,3,no,-0.4869593679904938
Estonia,EST,0,3,yes,-0.4869593679904938
Ethiopia,ETH,40,10,no,0.2468382865190506
Ethiopia,ETH,0,10,yes,0.2468382865190506
Finland,FIN,0,18,no,-2.5535316467285156
Finland,FIN,0,18,yes,-2.5535316467285156
Fiji,FJI,3,3,no,-0.20277351140975952
Fiji,FJI,0,3,yes,-0.20277351140975952
France,FRA,12,29,no,-1.7511416673660278
France,FRA,0,29,yes,-1.7511416673660278
Gabon,GAB,1,8,no,0.897779643535614
Gabon,GAB,0,8,yes,0.897779643535614
United Kingdom,GBR,0,31,no,-2.3252925872802734
United Kingdom,GBR,0,31,yes,-2.3252925872802734
Georgia,GEO,5,8,no,0.6432168483734131
Georgia,GEO,0,8,yes,0.6432168483734131
Ghana,GHA,8,10,no,0.4436306953430176
Ghana,GHA,0,10,yes,0.4436306953430176
Guinea,GIN,7,10,no,0.8174796104431152
Guinea,GIN,1,10,yes,0.8174796104431152
Gambia,GMB,1,8,no,0.49152466654777527
Gambia,GMB,0,8,yes,0.49152466654777527
Guinea-Bissau,GNB,12,5,no,0.5747287273406982
Guinea-Bissau,GNB,0,5,yes,0.5747287273406982
Greece,GRC,0,21,no,-0.8515174388885498
Greece,GRC,0,21,yes,-0.8515174388885498
Guatemala,GTM,0,9,no,0.6341379284858704
Guatemala,GTM,0,9,yes,0.6341379284858704
Guyana,GUY,1,5,no,0.26279979944229126
Guyana,GUY,0,5,yes,0.26279979944229126
Honduras,HND,2,6,no,0.7477467060089111
Honduras,HND,0,6,yes,0.7477467060089111
Croatia,HRV,4,9,no,0.32695943117141724
Croatia,HRV,0,9,yes,0.32695943117141724
Haiti,HTI,2,9,no,0.8490421772003174
Haiti,HTI,0,9,yes,0.8490421772003174
Hungary,HUN,2,8,no,-0.6910122036933899
Hungary,HUN,0,8,yes,-0.6910122036933899
Indonesia,IDN,61,25,no,0.9548277854919434
Indonesia,IDN,1,25,yes,0.9548277854919434
India,IND,7,18,no,0.17449131608009338
India,IND,1,18,yes,0.17449131608009338
Ireland,IRL,0,10,no,-2.153193712234497
Ireland,IRL,0,10,yes,-2.153193712234497
Iran,IRN,21,20,no,0.631765604019165
Iran,IRN,0,20,yes,0.631765604019165
Israel,ISR,0,15,no,-1.4075348377227783
Israel,ISR,0,15,yes,-1.4075348377227783
Italy,ITA,16,16,no,-0.9979128241539001
Italy,ITA,1,16,yes,-0.9979128241539001
Jamaica,JAM,0,9,no,0.2621619999408722
Jamaica,JAM,0,9,yes,0.2621619999408722
Jordan,JOR,2,9,no,-0.20614519715309143
Jordan,JOR,0,9,yes,-0.20614519715309143
Japan,JPN,0,47,no,-1.1592429876327515
Japan,JPN,0,47,yes,-1.1592429876327515
Kazakhstan,KAZ,13,9,no,0.8608617186546326
Kazakhstan,KAZ,0,9,yes,0.8608617186546326
Kenya,KEN,9,17,no,0.9194610714912415
Kenya,KEN,0,17,yes,0.9194610714912415
Kyrgyzstan,KGZ,2,5,no,0.6927597522735596
Kyrgyzstan,KGZ,0,5,yes,0.6927597522735596
Cambodia,KHM,3,5,no,1.2709463834762573
Cambodia,KHM,0,5,yes,1.2709463834762573
South Korea,KOR,1,33,no,-0.10721723735332489
South Korea,KOR,0,33,yes,-0.10721723735332489
Kuwait,KWT,150,9,no,-1.0739949941635132
Kuwait,KWT,0,9,yes,-1.0739949941635132
Laos,LAO,4,9,no,0.7023333311080933
Laos,LAO,0,9,yes,0.7023333311080933
Lebanon,LBN,0,3,no,0.32291966676712036
Lebanon,LBN,0,3,yes,0.32291966676712036
Liberia,LBR,5,6,no,1.4352846145629883
Liberia,LBR,0,6,yes,1.4352846145629883
Libya,LBY,5,9,no,0.9076867699623108
Libya,LBY,0,9,yes,0.9076867699623108
Sri Lanka,LKA,6,5,no,0.2394222468137741
Sri Lanka,LKA,0,5,yes,0.2394222468137741
Lesotho,LSO,8,6,no,-0.02590795047581196
Lesotho,LSO,0,6,yes,-0.02590795047581196
Lithuania,LTU,1,7,no,-0.07417778670787811
Lithuania,LTU,0,7,yes,-0.07417778670787811
Latvia,LVA,0,5,no,0.10237088799476624
Latvia,LVA,0,5,yes,0.10237088799476624
Morocco,MAR,69,17,no,0.10087765753269196
Morocco,MAR,0,17,yes,0.10087765753269196
Moldova,MDA,0,4,no,0.5081791281700134
Moldova,MDA,0,4,yes,0.5081791281700134
Madagascar,MDG,5,8,no,0.7981382608413696
Madagascar,MDG,0,8,yes,0.7981382608413696
Mexico,MEX,5,19,no,0.3913721740245819
Mexico,MEX,0,19,yes,0.3913721740245819
North Macedonia,MKD,1,4,no,0.2960381507873535
North Macedonia,MKD,0,4,yes,0.2960381507873535
Mali,MLI,13,5,no,0.5788466334342957
Mali,MLI,0,5,yes,0.5788466334342957
Mongolia,MNG,3,5,no,0.2781008183956146
Mongolia,MNG,0,5,yes,0.2781008183956146
Mozambique,MOZ,37,5,no,0.7691282629966736
Mozambique,MOZ,0,5,yes,0.7691282629966736
Mauritania,MRT,4,5,no,0.2933281660079956
Mauritania,MRT,0,5,yes,0.2933281660079956
Mauritius,MUS,6,4,no,-0.2027801275253296
Mauritius,MUS,0,4,yes,-0.2027801275253296
Malawi,MWI,5,6,no,0.5015499591827393
Malawi,MWI,0,6,yes,0.5015499591827393
Malaysia,MYS,1,13,no,-0.7347744703292847
Malaysia,MYS,0,13,yes,-0.7347744703292847
Namibia,"NAM",3,11,no,-0.23637601733207703
Namibia,"NAM",0,11,yes,-0.23637601733207703
Niger,NER,4,3,no,0.8779026865959167
Niger,NER,1,3,yes,0.8779026865959167
Nigeria,NGA,99,25,no,1.0053678750991821
Nigeria,NGA,1,25,yes,1.0053678750991821
Nicaragua,NIC,3,9,no,0.753240168094635
Nicaragua,NIC,0,9,yes,0.753240168094635
Netherlands,NLD,0,17,no,-2.4849140644073486
Netherlands,NLD,0,17,yes,-2.4849140644073486
Norway,NOR,0,12,no,-2.3462400436401367
Norway,NOR,0,12,yes,-2.3462400436401367
Nepal,NPL,7,6,no,0.5934016108512878
Nepal,NPL,0,6,yes,0.5934016108512878
New Zealand,NZL,0,8,no,-2.5454299449920654
New Zealand,NZL,0,8,yes,-2.5454299449920654
Oman,OMN,0,5,no,-0.8924087285995483
Oman,OMN,0,5,yes,-0.8924087285995483
Pakistan,PAK,61,13,no,0.755293071269989
Pakistan,PAK,1,13,yes,0.755293071269989
Panama,PAN,0,8,no,0.280547171831131
Panama,PAN,0,8,yes,0.280547171831131
Peru,PER,2,9,no,0.17005743086338043
Peru,PER,0,9,yes,0.17005743086338043
Philippines,PHL,16,20,no,0.2625190317630768
Philippines,PHL,0,20,yes,0.2625190317630768
Papua New Guinea,PNG,1,3,no,0.7046408653259277
Papua New Guinea,PNG,0,3,yes,0.7046408653259277
Poland,POL,2,17,no,-0.4892987310886383
Poland,POL,0,17,yes,-0.4892987310886383
Portugal,PRT,9,16,no,-1.5568044185638428
Portugal,PRT,1,16,yes,-1.5568044185638428
Paraguay,PRY,5,6,no,0.9678659439086914
Paraguay,PRY,0,6,yes,0.9678659439086914
Romania,ROM,2,10,no,0.37755706906318665
Romania,ROM,0,10,yes,0.37755706906318665
Russia,RUS,12,86,no,0.6913071274757385
Russia,RUS,0,86,yes,0.6913071274757385
Rwanda,RWA,3,3,no,0.5450571179389954
Rwanda,RWA,0,3,yes,0.5450571179389954
Saudi Arabia,SAU,27,12,no,-0.3455626368522644
Saudi Arabia,SAU,0,12,yes,-0.3455626368522644
Sudan,SDN,56,7,no,0.7454281449317932
Sudan,SDN,0,7,yes,0.7454281449317932
Senegal,SEN,59,11,no,0.45005449652671814
Senegal,SEN,0,11,yes,0.45005449652671814
Singapore,SGP,1,6,no,-2.4956107139587402
Singapore,SGP,0,6,yes,-2.4956107139587402
Sierra Leone,SLE,7,4,no,0.7202495336532593
Sierra Leone,SLE,0,4,yes,0.7202495336532593
El Salvador,SLV,1,10,no,0.27085980772972107
El Salvador,SLV,0,10,yes,0.27085980772972107
Slovakia,SVK,5,12,no,0.0834917426109314
Slovakia,SVK,0,12,yes,0.0834917426109314
Slovenia,SVN,3,8,no,-0.8272196054458618
Slovenia,SVN,0,8,yes,-0.8272196054458618
Sweden,SWE,0,19,no,-2.548719644546509
Sweden,SWE,0,19,yes,-2.548719644546509
Eswatini,SWZ,2,7,no,0.19123901426792145
Eswatini,SWZ,0,7,yes,0.19123901426792145
Syria,SYR,43,12,no,0.5784863233566284
Syria,SYR,1,12,yes,0.5784863233566284
Chad,TCD,17,2,no,0.8368539214134216
Chad,TCD,0,2,yes,0.8368539214134216
Togo,TGO,3,5,no,0.44706588983535767
Togo,TGO,0,5,yes,0.44706588983535767
Thailand,THA,21,13,no,0.26388266682624817
Thailand,THA,1,13,yes,0.26388266682624817
Tajikistan,TJK,1,4,no,1.1162035465240479
Tajikistan,TJK,0,4,yes,1.1162035465240479
Turkmenistan,TKM,2,4,no,1.128060221672058
Turkmenistan,TKM,0,4,yes,1.128060221672058
Trinidad & Tobago,TTO,1,6,no,-0.12690140306949615
Trinidad & Tobago,TTO,0,6,yes,-0.12690140306949615
Tunisia,TUN,12,11,no,-0.11434513330459595
Tunisia,TUN,0,11,yes,-0.11434513330459595
Turkey,TUR,0,25,no,0.006769860163331032
Turkey,TUR,0,25,yes,0.006769860163331032
Tanzania,TZA,4,8,no,0.9496566653251648
Tanzania,TZA,0,8,yes,0.9496566653251648
Uganda,UGA,2,7,no,0.6193597316741943
Uganda,UGA,0,7,yes,0.6193597316741943
Ukraine,UKR,12,14,no,0.8933979272842407
Ukraine,UKR,1,14,yes,0.8933979272842407
Uruguay,URY,3,11,no,-0.4192763864994049
Uruguay,URY,0,11,yes,-0.4192763864994049
Uzbekistan,UZB,3,5,no,0.9778004288673401
Uzbekistan,UZB,0,5,yes,0.9778004288673401
Venezuela,VEN,10,16,no,0.771975040435791
Venezuela,VEN,0,16,yes,0.771975040435791
Vietnam,VNM,10,15,no,0.6010587811470032
Vietnam,VNM,0,15,yes,0.6010587811470032
Yemen,YEM,5,8,no,0.5743530988693237
Yemen,YEM,0,8,yes,0.5743530988693237
Yugoslavia,YUG,15,6,no,0.9677972793579102
Yugoslavia,YUG,0,6,yes,0.9677972793579102
South Africa,ZAF,44,19,no,-0.41514652967453003
South Africa,ZAF,1,19,yes,-0.41514652967453003
Zaire,ZAR,3,6,no,1.5828068256378174
Zaire,ZAR,0,6,yes,1.5828068256378174
Zambia,ZMB,37,9,no,0.562192976474762
Zambia,ZMB,0,9,yes,0.562192976474762
Zimbabwe,ZWE,43,14,no,0.13337890803813934
Zimbabwe,ZWE,1,14,yes,0.13337890803813934
